rok;wojewodztwo;powiat;gmina;teryt
2002;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40101
2002;kujawsko-pomorskie;aleksandrowski;koneck;40106
2003;kujawsko-pomorskie;aleksandrowski;waganiec;40108
2003;kujawsko-pomorskie;aleksandrowski;zakrzewo;40109
2003;kujawsko-pomorskie;aleksandrowski;bądkowo;40105
2003;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40104
2003;kujawsko-pomorskie;aleksandrowski;ciechocinek;40102
2003;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40101
2003;kujawsko-pomorskie;aleksandrowski;raciążek;40107
2003;kujawsko-pomorskie;aleksandrowski;koneck;40106
2003;kujawsko-pomorskie;aleksandrowski;nieszawa;40103
2004;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40101
2004;kujawsko-pomorskie;aleksandrowski;waganiec;40108
2004;kujawsko-pomorskie;aleksandrowski;koneck;40106
2004;kujawsko-pomorskie;aleksandrowski;ciechocinek;40102
2004;kujawsko-pomorskie;aleksandrowski;nieszawa;40103
2004;kujawsko-pomorskie;aleksandrowski;raciążek;40107
2004;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40104
2004;kujawsko-pomorskie;aleksandrowski;bądkowo;40105
2004;kujawsko-pomorskie;aleksandrowski;zakrzewo;40109
2005;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40104
2005;kujawsko-pomorskie;aleksandrowski;ciechocinek;40102
2005;kujawsko-pomorskie;aleksandrowski;koneck;40106
2005;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40101
2005;kujawsko-pomorskie;aleksandrowski;waganiec;40108
2005;kujawsko-pomorskie;aleksandrowski;raciążek;40107
2005;kujawsko-pomorskie;aleksandrowski;zakrzewo;40109
2005;kujawsko-pomorskie;aleksandrowski;nieszawa;40103
2005;kujawsko-pomorskie;aleksandrowski;bądkowo;40105
2006;kujawsko-pomorskie;aleksandrowski;raciążek;40107
2006;kujawsko-pomorskie;aleksandrowski;waganiec;40108
2006;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40101
2006;kujawsko-pomorskie;aleksandrowski;nieszawa;40103
2006;kujawsko-pomorskie;aleksandrowski;koneck;40106
2006;kujawsko-pomorskie;aleksandrowski;ciechocinek;40102
2006;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40104
2006;kujawsko-pomorskie;aleksandrowski;bądkowo;40105
2006;kujawsko-pomorskie;aleksandrowski;zakrzewo;40109
2007;kujawsko-pomorskie;aleksandrowski;bądkowo;40105
2007;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40104
2007;kujawsko-pomorskie;aleksandrowski;waganiec;40108
2007;kujawsko-pomorskie;aleksandrowski;koneck;40106
2007;kujawsko-pomorskie;aleksandrowski;nieszawa;40103
2007;kujawsko-pomorskie;aleksandrowski;ciechocinek;40102
2007;kujawsko-pomorskie;aleksandrowski;zakrzewo;40109
2007;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40101
2007;kujawsko-pomorskie;aleksandrowski;raciążek;40107
2008;kujawsko-pomorskie;aleksandrowski;waganiec;40108
2008;kujawsko-pomorskie;aleksandrowski;koneck;40106
2008;kujawsko-pomorskie;aleksandrowski;nieszawa;40103
2008;kujawsko-pomorskie;aleksandrowski;ciechocinek;40102
2008;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40101
2008;kujawsko-pomorskie;aleksandrowski;zakrzewo;40109
2008;kujawsko-pomorskie;aleksandrowski;bądkowo;40105
2008;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40104
2008;kujawsko-pomorskie;aleksandrowski;raciążek;40107
2009;kujawsko-pomorskie;aleksandrowski;raciążek;40107
2009;kujawsko-pomorskie;aleksandrowski;bądkowo;40105
2009;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40104
2009;kujawsko-pomorskie;aleksandrowski;nieszawa;40103
2009;kujawsko-pomorskie;aleksandrowski;ciechocinek;40102
2009;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40101
2009;kujawsko-pomorskie;aleksandrowski;koneck;40106
2009;kujawsko-pomorskie;aleksandrowski;zakrzewo;40109
2009;kujawsko-pomorskie;aleksandrowski;waganiec;40108
2010;kujawsko-pomorskie;aleksandrowski;waganiec;40108
2010;kujawsko-pomorskie;aleksandrowski;bądkowo;40105
2010;kujawsko-pomorskie;aleksandrowski;raciążek;40107
2010;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40104
2010;kujawsko-pomorskie;aleksandrowski;nieszawa;40103
2010;kujawsko-pomorskie;aleksandrowski;ciechocinek;40102
2010;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40101
2010;kujawsko-pomorskie;aleksandrowski;koneck;40106
2010;kujawsko-pomorskie;aleksandrowski;zakrzewo;40109
2011;kujawsko-pomorskie;aleksandrowski;waganiec;40108
2011;kujawsko-pomorskie;aleksandrowski;ciechocinek;40102
2011;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40101
2011;kujawsko-pomorskie;aleksandrowski;nieszawa;40103
2011;kujawsko-pomorskie;aleksandrowski;koneck;40106
2011;kujawsko-pomorskie;aleksandrowski;raciążek;40107
2011;kujawsko-pomorskie;aleksandrowski;zakrzewo;40109
2011;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40104
2011;kujawsko-pomorskie;aleksandrowski;bądkowo;40105
2012;kujawsko-pomorskie;aleksandrowski;zakrzewo;40109
2012;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40101
2012;kujawsko-pomorskie;aleksandrowski;ciechocinek;40102
2012;kujawsko-pomorskie;aleksandrowski;nieszawa;40103
2012;kujawsko-pomorskie;aleksandrowski;bądkowo;40105
2012;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40104
2012;kujawsko-pomorskie;aleksandrowski;raciążek;40107
2012;kujawsko-pomorskie;aleksandrowski;waganiec;40108
2012;kujawsko-pomorskie;aleksandrowski;koneck;40106
2013;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40101
2013;kujawsko-pomorskie;aleksandrowski;bądkowo;40105
2013;kujawsko-pomorskie;aleksandrowski;ciechocinek;40102
2013;kujawsko-pomorskie;aleksandrowski;koneck;40106
2013;kujawsko-pomorskie;aleksandrowski;nieszawa;40103
2013;kujawsko-pomorskie;aleksandrowski;raciążek;40107
2013;kujawsko-pomorskie;aleksandrowski;waganiec;40108
2013;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40104
2013;kujawsko-pomorskie;aleksandrowski;zakrzewo;40109
2014;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40101
2014;kujawsko-pomorskie;aleksandrowski;koneck;40106
2014;kujawsko-pomorskie;aleksandrowski;bądkowo;40105
2014;kujawsko-pomorskie;aleksandrowski;raciążek;40107
2014;kujawsko-pomorskie;aleksandrowski;ciechocinek;40102
2014;kujawsko-pomorskie;aleksandrowski;zakrzewo;40109
2014;kujawsko-pomorskie;aleksandrowski;waganiec;40108
2014;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40104
2014;kujawsko-pomorskie;aleksandrowski;nieszawa;40103
2015;kujawsko-pomorskie;aleksandrowski;ciechocinek;40102
2015;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40104
2015;kujawsko-pomorskie;aleksandrowski;bądkowo;40105
2015;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40101
2015;kujawsko-pomorskie;aleksandrowski;nieszawa;40103
2015;kujawsko-pomorskie;aleksandrowski;raciążek;40107
